csv,primary_key,2016_11_15,2016_11_24,2016_12_04
ballot_measures_2016.csv,Alaska__Overall 2016 Alaska Ballot Measures Election Results__Voter Registeration through PFD Application,99.8,99.8,99.5
ballot_measures_2016.csv,Alaska__State Ballot Measures__Allow Student Loan Bonds,99.8,99.8,99.5
ballot_measures_2016.csv,Alaska__State Ballot Measures__Voter Registeration through PFD Application,99.8,99.8,99.5
ballot_measures_2016.csv,Utah__Overall 2016 Utah Ballot Measures Election Results__Changes to State School Fund,76.2,76.2,85.7
ballot_measures_2016.csv,Utah__State Ballot Measures__Changes to State School Fund,76.6,76.6,86.2
ballot_measures_2016.csv,Utah__State Ballot Measures__Oath of Office Word Change,76.6,76.6,86.2
ballot_measures_2016.csv,Utah__State Ballot Measures__State Gov Prop Tax Exemption,76.6,76.6,86.2
ballot_measures_2016.csv,Washington__Overall 2016 Washington Ballot Measures Election Results__Firearms Access,81.4,81.4,91.6
ballot_measures_2016.csv,Washington__Overall 2016 Washington Ballot Measures Election Results__Increase Minimum Wage,81.4,81.4,91.6
ballot_measures_2016.csv,Washington__State Ballot Measures__15 - Alternative-Fuel Vehicles,81.4,81.4,91.6
ballot_measures_2016.csv,Washington__State Ballot Measures__Campaign Finance,81.4,81.4,91.6
ballot_measures_2016.csv,Washington__State Ballot Measures__Dental Insurance Tax,81.4,81.4,91.6
ballot_measures_2016.csv,Washington__State Ballot Measures__Firearms Access,81.4,81.4,91.6
ballot_measures_2016.csv,Washington__State Ballot Measures__Fraud Protection,81.4,81.4,91.6
ballot_measures_2016.csv,Washington__State Ballot Measures__Fuel Tax Exemptions,81.4,81.4,91.6
ballot_measures_2016.csv,Washington__State Ballot Measures__Increase Minimum Wage,81.4,81.4,91.6
ballot_measures_2016.csv,Washington__State Ballot Measures__Oppose Citizens United,81.4,81.4,91.6
ballot_measures_2016.csv,Washington__State Ballot Measures__Redistricting,81.4,81.4,91.6
governor_general_election_2016.csv,Overall 2016 Utah Governor Election Results__democrat__M. Weinholtz,81.6,81.6,94.1
governor_general_election_2016.csv,Overall 2016 Utah Governor Election Results__independent_or_other__B. Kamerath,81.6,81.6,94.1
governor_general_election_2016.csv,Overall 2016 Utah Governor Election Results__independent_or_other__D. Schanze,81.6,81.6,94.1
governor_general_election_2016.csv,Overall 2016 Utah Governor Election Results__republican__G. Herbert,81.6,81.6,94.1
governor_general_election_2016.csv,Overall 2016 Washington Governor Election Results__democrat__J. Inslee,82.1,82.1,92.0
governor_general_election_2016.csv,Overall 2016 Washington Governor Election Results__republican__B. Bryant,82.1,82.1,92.0
governor_general_election_2016_by_county.csv,Utah__Box Elder County__democrat__M. Weinholtz,81.1,81.1,100.0
governor_general_election_2016_by_county.csv,Utah__Box Elder County__independent_or_other__B. Kamerath,81.1,81.1,100.0
governor_general_election_2016_by_county.csv,Utah__Box Elder County__independent_or_other__D. Schanze,81.1,81.1,100.0
governor_general_election_2016_by_county.csv,Utah__Box Elder County__republican__G. Herbert,81.1,81.1,100.0
governor_general_election_2016_by_county.csv,Utah__Cache County__democrat__M. Weinholtz,60.0,60.0,82.4
governor_general_election_2016_by_county.csv,Utah__Cache County__independent_or_other__B. Kamerath,60.0,60.0,82.4
governor_general_election_2016_by_county.csv,Utah__Cache County__independent_or_other__D. Schanze,60.0,60.0,82.4
governor_general_election_2016_by_county.csv,Utah__Cache County__republican__G. Herbert,60.0,60.0,82.4
governor_general_election_2016_by_county.csv,Utah__Carbon County__democrat__M. Weinholtz,95.0,95.0,100.0
governor_general_election_2016_by_county.csv,Utah__Carbon County__independent_or_other__B. Kamerath,95.0,95.0,100.0
governor_general_election_2016_by_county.csv,Utah__Carbon County__independent_or_other__D. Schanze,95.0,95.0,100.0
governor_general_election_2016_by_county.csv,Utah__Carbon County__republican__G. Herbert,95.0,95.0,100.0
governor_general_election_2016_by_county.csv,Utah__Daggett County__democrat__M. Weinholtz,83.3,83.3,100.0
governor_general_election_2016_by_county.csv,Utah__Daggett County__independent_or_other__B. Kamerath,83.3,83.3,100.0
governor_general_election_2016_by_county.csv,Utah__Daggett County__independent_or_other__D. Schanze,83.3,83.3,100.0
governor_general_election_2016_by_county.csv,Utah__Daggett County__republican__G. Herbert,83.3,83.3,100.0
governor_general_election_2016_by_county.csv,Utah__Davis County__democrat__M. Weinholtz,73.6,73.6,84.1
